Variable Name;.;.;.;Gross domestic product | individuals | Average | All Ages | constant 2015 local currency;Population | individuals | Population | All Ages | population;Gross domestic product | individuals | Total | All Ages | constant 2015 local currency;National income price index | individuals | Indices | All Ages | constant 2015 local currency;Market exchange rate, LCU per EUR | individuals | Exchange rates | All Ages | local currency per foreign currency;Market exchange rate, LCU per USD | individuals | Exchange rates | All Ages | local currency per foreign currency;Market exchange rate, LCU per CNY | individuals | Exchange rates | All Ages | local currency per foreign currency
Variable Category;.;.;.;Average & total income;Other macro;Average & total income;Other macro;Other macro;Other macro;Other macro
Variable Description;.;.;.;Average Gross domestic product. Gross domestic product is the total value of goods and services produced by the national economy.The national economy - in the national accounts sense - includes all domestic sectors, i.e. all entities that are resident of a given country (in the sense of their economic activity), whether they belong to the private sector, the corporate sector, the governement sector. The population is comprised of individuals of all ages.;Number of individuals in a group. The population is comprised of individuals of all ages. The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.;Total Gross domestic product. Gross domestic product is the total value of goods and services produced by the national economy.The national economy - in the national accounts sense - includes all domestic sectors, i.e. all entities that are resident of a given country (in the sense of their economic activity), whether they belong to the private sector, the corporate sector, the governement sector. The population is comprised of individuals of all ages.;Current national income adjusted by CPI, divided by national income of the base year adjusted by CPI. It measures the changes in the purchasing power of national income.;Official exchange rate of the local currency to EUR.;Official exchange rate of the local currency to USD.;Official exchange rate of the local currency to CNY.
Variable Decomposition;.;.;.;;;;;;;
Variable Unit;.;.;.;"USD; United States dollar | local currency | market";population;"USD; United States dollar | local currency | market";;local currency per foreign currency;local currency per foreign currency;local currency per foreign currency
Methodological Notes;.;.;.;GDP level in 2016 from the World Bank. Until 2015, we use the GDP growth rates from the World Bank.  After 2016, we use the GDP growth rates from the value for the previous year.;Total 2016 population estimated by extending past year observed population growth rate. Data on other years comes from the UN World Population Prospects (2015);GDP level in 2016 from the World Bank. Until 2015, we use the GDP growth rates from the World Bank.  After 2016, we use the GDP growth rates from the value for the previous year.;From 2002 to 2016, we use the GDP deflator from the World Bank. In 2017, we carry the last inflation value forward.;;;
Sources;.;.;.;WID.world computations using:  http://data.worldbank.org/ (World Bank);WID.world computations using:  https://esa.un.org/unpd/wpp/ (UN World Population Prospects (2015).);WID.world computations using:  http://data.worldbank.org/ (World Bank);WID.world computations using:  http://data.worldbank.org/ (World Bank);;;
Variable Code;country;year;perc;agdpro999i;npopul999i;mgdpro999i;inyixx999i;xlceux999i;xlcusx999i;xlcyux999i
;MP;2017;p0p100;;;1653339136.0;1.0;1.1267774105;1.0;0.1479480565
;MP;2016;p0p100;;;1285583744.0;0.9660983682;;;
